number,origin,destination,code,distance,duration,toll
14,"106.437744,29.834768","106.580033,29.494323",0,54629,4740,0
15,"106.437744,29.834768","106.51192,29.545792",0,50409,4140,0
16,"106.437744,29.834768","106.583455,29.7242",0,35210,2880,0
17,"106.437744,29.834768","106.63903,29.741647",0,42396,3540,0
18,"106.437744,29.834768","106.322559,29.587865",0,38727,2700,0
19,"106.437744,29.834768","106.501745,29.549904",0,49613,3960,0
20,"106.437744,29.834768","106.335525,29.306186",0,75809,6120,0
21,"106.437744,29.834768","106.322559,29.587865",0,38727,2700,0
22,"106.437744,29.834768","106.541018,29.504005",0,56688,4560,0
23,"106.437744,29.834768","106.501745,29.549904",0,49613,3960,0
24,"106.437744,29.834768","106.541018,29.504005",0,56688,4560,0
25,"106.437744,29.834768","106.453207,29.481983",0,57537,4740,0
26,"106.437744,29.834768","106.484729,29.458992",0,58114,4800,0
27,"106.437744,29.834768","106.453207,29.481983",0,57537,4740,0
28,"106.437744,29.834768","106.333688,29.317011",0,74523,5940,0
29,"106.437744,29.834768","106.60536,29.713829",0,37431,2880,0
30,"106.437744,29.834768","106.459735,29.575523",0,49486,4140,0
31,"106.437744,29.834768","106.466603,29.561936",0,47336,3840,0
32,"106.437744,29.834768","106.554186,29.450315",0,62345,4920,0
33,"106.437744,29.834768","106.384825,29.676384",0,29467,2280,0
34,"106.437744,29.834768","106.63687,29.726257",0,44050,3180,0
35,"106.437744,29.834768","106.466603,29.561936",0,47336,3840,0
36,"106.437744,29.834768","106.532814,29.661553",0,32689,2400,0
37,"106.437744,29.834768","106.62299,29.694099",0,40641,2940,0
38,"106.437744,29.834768","106.579601,29.502594",0,53578,4620,0
39,"106.437744,29.834768","106.61362,29.700564",0,38710,3000,0
40,"106.437744,29.834768","106.457635,29.532843",0,50359,4320,0
41,"106.437744,29.834768","106.466603,29.561936",0,47336,3840,0
42,"106.437744,29.834768","106.49045,29.455114",0,63535,4920,0
43,"106.437744,29.834768","106.519562,29.616892",0,37130,2880,0
44,"106.437744,29.834768","106.497532,29.595188",0,39309,3180,0
45,"106.437744,29.834768","106.498125,29.534557",0,53096,4140,0
46,"106.437744,29.834768","106.635165,29.478089",0,64635,4920,0
0,"106.609065,29.657856","106.543865,29.425925",0,29720,3120,0
1,"106.609065,29.657856","106.543666,29.633111",0,15828,1680,0
2,"106.609065,29.657856","106.609572,29.665203",0,3656,660,0
3,"106.609065,29.657856","106.641637,29.612773",0,12869,1320,0
4,"106.609065,29.657856","106.55654,29.562133",0,15300,1860,0
5,"106.609065,29.657856","106.516845,29.616736",0,17276,1620,0
6,"106.609065,29.657856","106.55654,29.562133",0,15300,1860,0
7,"106.609065,29.657856","106.55654,29.562133",0,15300,1860,0
8,"106.609065,29.657856","106.520006,29.557101",0,20293,2100,0
9,"106.609065,29.657856","106.350857,29.523768",0,53672,3360,0
10,"106.609065,29.657856","106.564296,29.654847",0,17255,1980,0
11,"106.609065,29.657856","106.402117,29.80278",0,35533,2340,0
12,"106.609065,29.657856","106.448115,29.518068",0,30784,3240,0
