number,origin,destination,code,distance,duration,toll,restriction
67,"106.556809,29.517229","106.551843,29.650122",0,21110,3960,0,1
68,"106.556809,29.517229","106.581698,29.520627",0,8853,1560,0,1
69,"106.556809,29.517229","106.52288,29.550783",0,10293,2160,0,1
70,"106.556809,29.517229","106.512547,29.511351",0,7715,1620,0,1
71,"106.556809,29.517229","106.473207,29.564749",0,14608,2220,0,1
72,"106.556809,29.517229","106.481465,29.771363",0,39972,5460,0,1
73,"106.556809,29.517229","106.481465,29.771363",0,39972,5460,0,1
74,"106.556809,29.517229","106.641637,29.612773",0,42121,6240,0,1
75,"106.556809,29.517229","106.55654,29.562133",0,8840,1920,0,1
76,"106.556809,29.517229","106.57571,29.580888",0,10106,1980,0,1
77,"106.556809,29.517229","106.575313,29.577264",0,9220,1860,0,1
78,"106.556809,29.517229","106.577057,29.578312",0,10532,2040,0,1
79,"106.556809,29.517229","106.324981,29.525253",0,34414,4440,0,1
80,"106.556809,29.517229","106.54485,29.416135",0,15352,2520,0,1
81,"106.556809,29.517229","106.538812,29.657252",0,22838,4140,0,1
82,"106.556809,29.517229","106.538812,29.657252",0,22838,4140,0,1
83,"106.556809,29.517229","106.590121,29.568028",0,9596,1920,0,1
84,"106.556809,29.517229","106.487157,29.628072",0,20376,3240,0,1
85,"106.556809,29.517229","106.524603,29.541083",0,7581,1740,0,1
86,"106.556809,29.517229","106.524603,29.541083",0,7581,1740,0,1
87,"106.556809,29.517229","106.539246,29.599319",0,14078,2820,0,1
88,"106.556809,29.517229","105.738583,29.70041",0,144509,13200,0,1
89,"106.556809,29.517229","106.496322,29.619746",0,20784,3300,0,1
90,"106.556809,29.517229","106.54746,29.415515",0,15661,2640,0,1
91,"106.556809,29.517229","106.505464,29.554275",0,12567,2700,0,1
92,"106.556809,29.517229","106.424981,29.816815",0,54707,5700,0,1
93,"106.556809,29.517229","106.437744,29.834768",0,55738,5760,0,1
94,"106.556809,29.517229","105.70941,29.703558",0,150957,13800,0,1
95,"106.556809,29.517229","106.453589,29.540679",0,15622,2520,0,1
96,"106.556809,29.517229","106.412223,29.811194",0,53332,5520,0,1
97,"106.556809,29.517229","106.556505,29.562989",0,8612,1860,0,1
98,"106.556809,29.517229","106.543865,29.425925",0,14034,2400,0,1
99,"106.556809,29.517229","106.543865,29.425925",0,14034,2400,0,1
0,"106.515487,29.624322","106.384825,29.676384",0,19033,1860,0,1
1,"106.515487,29.624322","106.556809,29.517229",0,19103,3420,0,1
2,"106.515487,29.624322","106.57485,29.733029",0,18135,2400,0,1
3,"106.515487,29.624322","106.569953,29.481373",0,21401,3780,0,1
4,"106.515487,29.624322","106.563185,29.465776",0,24615,4140,0,1
5,"106.515487,29.624322","106.794496,29.687276",0,48394,4260,0,1
6,"106.515487,29.624322","106.56982,29.584005",0,11717,2460,0,1
7,"106.515487,29.624322","106.423114,29.838559",0,37463,3660,0,1
8,"106.515487,29.624322","106.483385,29.629215",0,3996,660,0,1
9,"106.515487,29.624322","106.411922,29.810434",0,33044,3060,0,1
10,"106.515487,29.624322","106.545594,29.500913",0,19064,3540,0,1
11,"106.515487,29.624322","106.372849,29.634566",0,30367,3180,0,1
12,"106.515487,29.624322","106.537811,29.590335",0,6428,1800,0,1
13,"106.515487,29.624322","106.575366,29.577498",0,10910,2340,0,1
14,"106.515487,29.624322","106.633012,29.717755",0,21767,3180,0,1
15,"106.515487,29.624322","106.549654,29.612006",0,6203,1740,0,1
16,"106.515487,29.624322","106.645588,29.765431",0,28265,3180,0,1
17,"106.515487,29.624322","106.524153,29.385368",0,36665,5760,0,1
